date,Policia,Policía nacional,isPartial
2020-01-12,97,3,False
2020-01-19,90,3,False
2020-01-26,83,3,False
2020-02-02,77,3,False
2020-02-09,75,3,False
2020-02-16,83,3,False
2020-02-23,80,3,False
2020-03-01,78,3,False
2020-03-08,72,3,False
2020-03-15,67,3,False
2020-03-22,61,3,False
2020-03-29,54,3,False
2020-04-05,57,3,False
2020-04-12,61,3,False
2020-04-19,60,3,False
2020-04-26,53,3,False
2020-05-03,56,3,False
2020-05-10,62,4,False
2020-05-17,59,3,False
2020-05-24,69,4,False
2020-05-31,72,4,False
2020-06-07,69,4,False
2020-06-14,63,3,False
2020-06-21,76,4,False
2020-06-28,66,4,False
2020-07-05,62,4,False
2020-07-12,60,4,False
2020-07-19,63,4,False
2020-07-26,66,4,False
2020-08-02,61,4,False
2020-08-09,61,4,False
2020-08-16,64,5,False
2020-08-23,68,4,False
2020-08-30,63,4,False
2020-09-06,100,6,False
2020-09-13,85,6,False
2020-09-20,72,5,False
2020-09-27,67,5,False
2020-10-04,67,5,False
2020-10-11,59,5,False
2020-10-18,68,5,False
2020-10-25,65,4,False
2020-11-01,68,5,False
2020-11-08,60,4,False
2020-11-15,52,3,False
2020-11-22,60,4,False
2020-11-29,66,4,False
2020-12-06,65,5,False
2020-12-13,78,5,False
2020-12-20,69,5,False
2020-12-27,65,4,False
2021-01-03,86,5,False
2021-01-10,81,6,False
2021-01-17,76,5,False
2021-01-24,72,4,False
2021-01-31,73,5,False
2021-02-07,71,5,False
2021-02-14,67,5,False
2021-02-21,65,5,False
2021-02-28,65,5,False
2021-03-07,83,6,False
2021-03-14,68,5,False
2021-03-21,62,4,False
2021-03-28,56,5,False
2021-04-04,63,4,False
2021-04-11,56,5,False
2021-04-18,59,5,False
2021-04-25,66,5,False
2021-05-02,94,7,False
2021-05-09,59,5,False
2021-05-16,63,6,False
2021-05-23,74,6,False
2021-05-30,65,5,False
2021-06-06,68,6,False
2021-06-13,58,5,False
2021-06-20,57,5,False
2021-06-27,63,5,False
2021-07-04,60,5,False
2021-07-11,62,5,False
2021-07-18,73,7,False
2021-07-25,62,5,False
2021-08-01,56,4,False
2021-08-08,69,5,False
2021-08-15,57,5,False
2021-08-22,60,5,False
2021-08-29,71,5,False
2021-09-05,65,5,False
2021-09-12,63,5,False
2021-09-19,59,4,False
2021-09-26,64,4,False
2021-10-03,65,4,False
2021-10-10,64,4,False
2021-10-17,56,4,False
2021-10-24,57,4,False
2021-10-31,59,5,False
2021-11-07,60,4,False
2021-11-14,62,4,False
2021-11-21,64,5,False
2021-11-28,69,5,False
2021-12-05,62,5,False
2021-12-12,70,5,False
2021-12-19,63,4,False
2021-12-26,61,4,False
2022-01-02,95,6,False
2022-01-09,89,6,False
2022-01-16,88,5,False
2022-01-23,82,6,False
2022-01-30,70,5,False
2022-02-06,72,5,False
2022-02-13,63,4,False
2022-02-20,64,5,False
2022-02-27,63,5,False
2022-03-06,64,5,False
2022-03-13,59,5,False
2022-03-20,60,4,False
2022-03-27,63,5,False
2022-04-03,62,5,False
2022-04-10,56,5,False
2022-04-17,61,5,False
2022-04-24,61,4,False
2022-05-01,74,6,False
2022-05-08,66,5,False
2022-05-15,73,6,False
2022-05-22,60,5,False
2022-05-29,61,5,False
2022-06-05,62,5,False
2022-06-12,76,5,False
2022-06-19,70,6,False
2022-06-26,75,6,False
2022-07-03,68,5,False
2022-07-10,68,5,False
2022-07-17,69,5,False
2022-07-24,80,5,False
2022-07-31,70,5,False
2022-08-07,67,5,False
2022-08-14,64,5,False
2022-08-21,70,5,False
2022-08-28,69,5,False
2022-09-04,66,5,False
2022-09-11,63,4,False
2022-09-18,65,5,False
2022-09-25,68,5,False
2022-10-02,60,4,False
2022-10-09,65,5,False
2022-10-16,53,4,False
2022-10-23,64,4,False
2022-10-30,63,5,False
2022-11-06,60,4,False
2022-11-13,66,6,False
2022-11-20,57,5,False
2022-11-27,63,5,False
2022-12-04,64,5,False
2022-12-11,66,5,False
2022-12-18,70,6,False
2022-12-25,65,4,False
2023-01-01,90,5,False
2023-01-08,78,5,False
2023-01-15,79,6,False
2023-01-22,79,6,False
2023-01-29,74,5,False
2023-02-05,70,5,False
2023-02-12,67,4,False
2023-02-19,65,5,False
2023-02-26,66,5,False
2023-03-05,62,4,False
2023-03-12,64,4,False
2023-03-19,58,4,False
2023-03-26,66,5,False
2023-04-02,50,4,False
2023-04-09,62,6,False
2023-04-16,65,5,False
2023-04-23,63,4,False
2023-04-30,65,5,False
2023-05-07,67,5,False
2023-05-14,60,5,False
2023-05-21,59,5,False
2023-05-28,65,5,False
2023-06-04,69,5,False
2023-06-11,69,5,False
2023-06-18,65,5,False
2023-06-25,81,5,False
2023-07-02,72,5,False
2023-07-09,79,6,False
2023-07-16,65,5,False
2023-07-23,65,5,False
2023-07-30,71,5,False
2023-08-06,61,5,False
2023-08-13,59,5,False
2023-08-20,54,4,False
2023-08-27,63,5,False
