date,trends
2020-01-12,99
2020-01-19,91
2020-01-26,80
2020-02-02,88
2020-02-09,81
2020-02-16,87
2020-02-23,82
2020-03-01,78
2020-03-08,72
2020-03-15,63
2020-03-22,53
2020-03-29,49
2020-04-05,55
2020-04-12,57
2020-04-19,56
2020-04-26,54
2020-05-03,58
2020-05-10,62
2020-05-17,59
2020-05-24,64
2020-05-31,69
2020-06-07,68
2020-06-14,59
2020-06-21,70
2020-06-28,72
2020-07-05,62
2020-07-12,65
2020-07-19,63
2020-07-26,62
2020-08-02,59
2020-08-09,59
2020-08-16,64
2020-08-23,63
2020-08-30,63
2020-09-06,100
2020-09-13,85
2020-09-20,68
2020-09-27,74
2020-10-04,71
2020-10-11,66
2020-10-18,70
2020-10-25,70
2020-11-01,63
2020-11-08,62
2020-11-15,62
2020-11-22,68
2020-11-29,79
2020-12-06,69
2020-12-13,82
2020-12-20,66
2020-12-27,59
2021-01-03,67
2021-01-10,78
2021-01-17,78
2021-01-24,73
2021-01-31,74
2021-02-07,76
2021-02-14,71
2021-02-21,70
2021-02-28,71
2021-03-07,90
2021-03-14,73
2021-03-21,67
2021-03-28,68
2021-04-04,68
2021-04-11,66
2021-04-18,69
2021-04-25,69
2021-05-02,84
2021-05-09,69
2021-05-16,71
2021-05-23,73
2021-05-30,70
2021-06-06,74
2021-06-13,58
2021-06-20,62
2021-06-27,62
2021-07-04,64
2021-07-11,72
2021-07-18,79
2021-07-25,71
2021-08-01,65
2021-08-08,79
2021-08-15,62
2021-08-22,69
2021-08-29,74
2021-09-05,66
2021-09-12,73
2021-09-19,66
2021-09-26,68
2021-10-03,75
2021-10-10,72
2021-10-17,61
2021-10-24,65
2021-10-31,66
2021-11-07,63
2021-11-14,68
2021-11-21,72
2021-11-28,73
2021-12-05,72
2021-12-12,79
2021-12-19,71
2021-12-26,68
2022-01-02,96
2022-01-09,85
2022-01-16,89
2022-01-23,79
2022-01-30,69
2022-02-06,71
2022-02-13,65
2022-02-20,63
2022-02-27,64
2022-03-06,64
2022-03-13,62
2022-03-20,63
2022-03-27,64
2022-04-03,63
2022-04-10,54
2022-04-17,60
2022-04-24,62
2022-05-01,68
2022-05-08,68
2022-05-15,67
2022-05-22,64
2022-05-29,62
2022-06-05,64
2022-06-12,67
2022-06-19,68
2022-06-26,72
2022-07-03,70
2022-07-10,69
2022-07-17,68
2022-07-24,77
2022-07-31,68
2022-08-07,67
2022-08-14,67
2022-08-21,69
2022-08-28,71
2022-09-04,64
2022-09-11,66
2022-09-18,66
2022-09-25,68
2022-10-02,68
2022-10-09,66
2022-10-16,62
2022-10-23,64
2022-10-30,67
2022-11-06,60
2022-11-13,70
2022-11-20,63
2022-11-27,63
2022-12-04,63
2022-12-11,70
2022-12-18,68
2022-12-25,67
2023-01-01,82
2023-01-08,77
2023-01-15,81
2023-01-22,77
2023-01-29,71
2023-02-05,68
2023-02-12,65
2023-02-19,68
2023-02-26,68
2023-03-05,63
2023-03-12,60
2023-03-19,59
2023-03-26,71
2023-04-02,56
2023-04-09,73
2023-04-16,65
2023-04-23,65
2023-04-30,66
2023-05-07,71
2023-05-14,67
2023-05-21,67
2023-05-28,65
2023-06-04,68
2023-06-11,70
2023-06-18,66
2023-06-25,75
2023-07-02,74
2023-07-09,83
2023-07-16,70
2023-07-23,68
2023-07-30,66
2023-08-06,60
2023-08-13,61
2023-08-20,59
2023-08-27,65
